tdoa12,tdoa21,snr_an1,power_dif_an1,snr_an2,power_dif_an2,an1_rx_snr,an1_rx_powerdif,an1_tof,an2_rx_snr,an2_rx_powerdif,an2_tof
-0.1126023381948471,0.16421173512935638,131.6875,10.091804504394531,178.4166717529297,10.935897827148438,53.650001525878906,21.802490234375,5.131104469299316,65.69999694824219,20.182540893554688,5.140488147735596
-0.16421173512935638,0.16890349984169006,144.82142639160156,9.963180541992188,143.75,11.092353820800781,55.400001525878906,21.883651733398438,5.098262310028076,65.69999694824219,20.182540893554688,5.140488147735596
-0.18767055869102478,0.1595199704170227,125.92857360839844,10.630882263183594,157.5416717529297,10.786346435546875,59.45000076293945,21.34136962890625,5.121721267700195,53.150001525878906,20.51062774658203,5.065420150756836
-0.1126023381948471,0.060992930084466934,140.4642791748047,10.118301391601562,163.2083282470703,10.670112609863281,74.0999984741211,19.73987579345703,5.102953910827637,44.58333206176758,20.29015350341797,5.126412868499756
-0.272122323513031,0.05630116909742355,83.0625,7.6539154052734375,133.5,10.802597045898438,50.0,22.087509155273438,5.098262310028076,60.45000076293945,20.404136657714844,5.117029190063477
-0.19236232340335846,0.05630116909742355,152.0357208251953,9.693450927734375,140.9166717529297,10.773727416992188,68.19999694824219,20.84711456298828,5.126412868499756,53.400001525878906,20.016563415527344,5.126412868499756
-0.15482820570468903,0.17828702926635742,122.03571319580078,10.523811340332031,164.4166717529297,11.006027221679688,50.125,21.0489501953125,5.117029190063477,53.400001525878906,20.016563415527344,5.126412868499756
-0.15482820570468903,0.09383527934551239,133.25,9.929428100585938,164.4166717529297,11.006027221679688,55.25,21.0865478515625,5.131104469299316,46.04166793823242,20.69799041748047,5.121721267700195
-0.08445174992084503,0.12198586016893387,158.25,9.862571716308594,147.0416717529297,10.74114990234375,67.55000305175781,20.32762908935547,5.121721267700195,54.849998474121094,20.477760314941406,5.117029190063477
-0.16890349984169006,0.12198586016893387,142.35714721679688,9.988174438476562,142.85714721679688,11.097938537597656,51.95833206176758,21.25415802001953,5.121721267700195,54.849998474121094,20.477760314941406,5.117029190063477
-0.07506822049617767,0.12198586016893387,156.2142791748047,9.822090148925781,130.57142639160156,10.644096374511719,58.400001525878906,20.477577209472656,5.093570709228516,60.20000076293945,20.7811279296875,5.135796546936035
-0.19236232340335846,0.17359526455402374,144.17857360839844,10.025497436523438,131.2142791748047,11.034255981445312,49.33333206176758,20.03845977783203,5.135796546936035,51.70833206176758,19.78392791748047,5.1076459884643555
-0.24866348505020142,0.17359526455402374,138.75,9.936302185058594,163.0833282470703,10.835380554199219,60.45000076293945,21.395111083984375,5.112337589263916,50.45833206176758,20.46967315673828,5.121721267700195
-0.17359526455402374,0.20174585282802582,129.15625,10.090347290039062,150.9583282470703,11.032707214355469,62.900001525878906,20.64073944091797,5.1545634269714355,63.900001525878906,19.090591430664062,5.140488147735596
-0.1829787939786911,0.16421173512935638,151.9583282470703,10.052345275878906,175.875,10.788238525390625,52.20000076293945,20.63665771484375,5.126412868499756,55.20833206176758,19.94695281982422,5.135796546936035
-0.1829787939786911,0.20174585282802582,120.25,10.424812316894531,165.8333282470703,10.8470458984375,63.849998474121094,20.770980834960938,5.126412868499756,41.599998474121094,21.292984008789062,5.131104469299316
-0.12667763233184814,0.22051291167736053,132.03125,9.780364990234375,127.0625,10.640350341796875,43.04166793823242,21.290122985839844,5.135796546936035,34.29166793823242,20.27043914794922,5.121721267700195
-0.15482820570468903,0.12198586016893387,124.9375,10.072311401367188,172.35000610351562,10.885856628417969,66.9000015258789,20.499252319335938,5.112337589263916,57.599998474121094,19.259323120117188,5.098262310028076
-0.07506822049617767,0.11729410290718079,130.0357208251953,9.932212829589844,167.375,11.205146789550781,61.75,21.540016174316406,5.140488147735596,51.54166793823242,20.26091766357422,5.135796546936035
-0.14075292646884918,0.07506822049617767,129.96875,9.661872863769531,152.75,10.753143310546875,57.25,21.061187744140625,5.112337589263916,55.29999923706055,19.61811065673828,5.135796546936035
-0.14075292646884918,0.13136939704418182,171.375,9.675994873046875,152.75,10.753143310546875,45.33333206176758,20.223220825195312,5.131104469299316,54.0,19.95886993408203,5.102953910827637
-0.1126023381948471,0.08914351463317871,147.0833282470703,10.571395874023438,128.2857208251953,10.773139953613281,64.6500015258789,20.362823486328125,5.163947105407715,33.625,20.76691436767578,5.187405586242676
-0.08445174992084503,0.12198586016893387,154.14285278320312,10.00714111328125,171.25,10.578338623046875,47.29999923706055,22.045059204101562,5.163947105407715,48.91666793823242,19.90027618408203,5.102953910827637
-0.12667763233184814,0.12198586016893387,154.14285278320312,10.00714111328125,132.85714721679688,10.595352172851562,59.95000076293945,21.447952270507812,5.093570709228516,45.125,20.385284423828125,5.093570709228516
-0.21112938225269318,0.17828702926635742,156.32142639160156,9.674652099609375,160.5416717529297,10.766136169433594,54.66666793823242,20.805091857910156,5.093570709228516,52.0,20.22149658203125,5.126412868499756
-0.21112938225269318,0.14075292646884918,142.57142639160156,10.233909606933594,142.7142791748047,10.951484680175781,77.4375,21.007400512695312,5.140488147735596,58.95000076293945,20.10979461669922,5.131104469299316
-0.21112938225269318,0.14075292646884918,142.57142639160156,10.233909606933594,142.7142791748047,10.951484680175781,50.875,21.146026611328125,5.131104469299316,61.400001525878906,20.33709716796875,5.121721267700195
-0.2064376175403595,0.14075292646884918,131.15625,10.218681335449219,150.0,10.641960144042969,56.5,20.41265869140625,5.131104469299316,47.599998474121094,19.624122619628906,5.126412868499756
